pubkey,balance_sol,owner,executable
11111111111111111111111111111111,0.000000001,NativeLoader1111111111111111111111111111111,true
12iwLnViZPCjaynkoEFJEApmR9KNMfcdy55ng5nxdAf,0.0151156,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
12vL2HxjmAdxazapqxKkN6QV9VGAod5U1k8J8hoqHhA,0.0014616,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
14RipCeE5Q9PGXBAoRq5Ztqyp4B5AEaNDmT7duFc6pF,0.00408356,11111111111111111111111111111111,false
151CypjGZN3EqujTSKzVMgsQmhJx6DGyoUEyN89qdfz,0.0151156,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
16FMCmgLzCNNz6eTwGanbyN2ZxvTBSLuQ6DZhgeMshg,0.00095352,Feature111111111111111111111111111111111111,false
19qSvvmdFu9Au9pv3kbMNfZpekedeK5j7CL9DELJRnP,0.00103008,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
1AYsHcm4i1RoA8jSY8ZaVw8YJ9UiQsynHVpu3RM8qYu,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
1BEmTf8HoELJoE7HMFfAduQLFFrCKijzU5jGJobDuMP,0.0035148,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
1BLQAAZPK6jVJJAmamLD2hpkiu64iJYV5PukbNbJVEb,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
1CKFuUQS5YBJatZDp6PrUBEbKW6iSKnTbqgXE82UV8u,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
1CihqpNSUaAaNEq4jdi63CtG9KAw9yhmNQ9PPUfcHjd,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
1DNKn9ppndAoQqZWwWApyDMo8uubAwHU2VyLVyW2icd,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
1DfKfJ7xGUqYrZhVFYPSZvZo1FxCtoiqpuk6QbfFu2m,0.00408356,11111111111111111111111111111111,false
1Dg2qTrg4gAaUgFZr3x1pGGdtPqqiJgDKJDGUcd9tZG,0.00381408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
1F7khJSPUo96HjiErVDuSvMtEKTgi81nLNcgWNuL7xJ,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
1FNwHcWysRSSmXPkmUaj6dr2abnMrqAjDG8djdp1gEN,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
1FizVqksUJSUFKQePtYWEUm3EuGA6TXNuyxT4LxpUP5,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
